Available Data and Morphometry,,,,,,,,,,,,,,,,,,,,,,
SportFishRegion,ManagementArea,LakeName,Longitude_WGS84,Latitude_WGS84,Elevation (m),Temp (C),SurfaceArea_h,Volume_m3,MeanDepth_m,MaximumDepth_m,ShorelineLength_km,SpeciesPreviouslyStocked,NativeSpeciesPresent,BathymetricMap,Count of ForkLength_mm,Average of ForkLength_mm,Count of Weight_g,Average of Weight_g,Abundance,SWHS,"Include in ""Alaskanizing"" Modeling Exercise",Potentially Include in Lake Trout Management Plan
Region III,Delta (Upper Tanana River Drainage),Bullwinkle Lake,-145.823088000,63.906999,463,-2.00,2,,,9.2,0.55,"Arctic char, lake trout, rainbow trout, sheefish",,Yes,1,357,,,,Yes,No,No
Region II,Mat-Su (Susitna River Drainage),Butte Lake,-147.852460000,63.190190,1021,-3.00,275.19,,,16.5,9.89,,"lake trout, Arctic grayling, whitefish-unspecified",No,966,370,104,359,Yes,,yes,No
Region III,North Slope Drainages,C-116,-154.318260000,69.956850,55,-11.00,,,,19.2,,,"lake trout, burbot, least cisco",Yes,,,,,,,No,No
Region III,North Slope Drainages,C-117,-154.267870000,69.967650,52,-11.00,,,,12.2,,,"lake trout, burbot, broad whitefish, least cisco",Yes,,,,,,,No,No
Region III,North Slope Drainages,C-119,-152.880710000,70.098650,35,-11.00,12.95,,,6.1,,,lake trout,Yes,,,,,,,No,No
Region III,North Slope Drainages,C-120,-153.153470000,70.011960,38,-11.00,,,,9.8,,,"lake trout, slimy sculpin, broad whitefish",Yes,,,,,,,No,No
Region III,North Slope Drainages,C-121,-153.248810000,70.230860,36,-11.00,,,,8.2,,,"lake trout, burbot",Yes,,,,,,,No,No
Region III,North Slope Drainages,C-122,-153.090230000,70.230660,36,-11.00,,,,9.8,,,lake trout,Yes,,,,,,,No,No
Region III,North Slope Drainages,C-124,-153.676590000,70.360860,25,-12.00,,,,11.3,,,lake trout,No,,,,,,,No,No
Region III,North Slope Drainages,C-125,-153.603920000,70.072220,41,-11.00,,,,12.8,,,"lake trout, burbot, broad whitefish, round whitefish",Yes,,,,,,,No,No
Region III,North Slope Drainages,C-126,-153.507840000,69.844800,67,-11.00,,,,21.3,,,"lake trout, burbot",Yes,,,,,,,No,No
Region III,North Slope Drainages,C-40,-153.922610000,70.159610,49,-11.00,,,,5.5,,,"lake trout, broad whitefish, least cisco, round whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,C-41,-153.644840000,70.202670,38,-11.00,,,,6.7,,,"lake trout, least cisco",No,,,,,,,No,No
Region III,North Slope Drainages,C-50,-153.497860000,70.057670,48,-11.00,,,,13.7,,,"lake trout, broad whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,C-52,-153.237560000,69.956830,46,-11.00,,,,15.2,,,"lake trout, burbot, slimy sculpin, broad whitefish, least cisco, round whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,C-57,-153.003190000,70.283230,31,-11.00,,,,11.3,,,"lake trout, least cisco",No,,,,,,,No,No
Region III,North Slope Drainages,C-58,-152.940690000,70.309340,31,-11.00,,,,3.0,,,"lake trout, broad whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,C-59,-153.059580000,70.307400,31,-12.00,,,,13.4,,,"lake trout, broad whitefish, least cisco, round whitefish",No,,,,,,,No,No
Region III,North Slope Drainages,Campsite Lake,-149.181010000,68.596770,861,-8.00,,,,30.5,,,"Arctic char, lake trout, slimy sculpin",No,,,,,,,No,No
