FISH_N,WATER,YEAR_COL,SPECIES,FINAL_AGE,LENGTH,WEIGHT
LT.LML.050714.GLN.004,LITTLE MOOSE LAKE,2014,LT,10,480,946
LT.LML.050714.GLN.005,LITTLE MOOSE LAKE,2014,LT,13,489,1162
LT.LML.050714.GLN.006,LITTLE MOOSE LAKE,2014,LT,11,533,1494
LT.LML.050714.GLN.007,LITTLE MOOSE LAKE,2014,LT,13,609,1771
LT.LML.050714.GLN.008,LITTLE MOOSE LAKE,2014,LT,10,500,1186
LT.LML.050714.GLN.009,LITTLE MOOSE LAKE,2014,LT,8,513,1315
LT.LML.050714.GLN.010,LITTLE MOOSE LAKE,2014,LT,10,494,1028
LT.LML.050714.GLN.011,LITTLE MOOSE LAKE,2014,LT,9,571,1553
LT.LML.050714.GLN.012,LITTLE MOOSE LAKE,2014,LT,9,474,1011
LT.LML.050714.GLN.013,LITTLE MOOSE LAKE,2014,LT,14,544,1296
LT.LML.022815.RANG.001,LITTLE MOOSE LAKE,2015,LT,17,794,4990
LT.LML.031415.RANG.001,LITTLE MOOSE LAKE,2015,LT,36,660,2268
